title,duration,duration_numeric
The Wind,88 min,88.0
Then Came You,97 min,97.0
Welcome Home,97 min,97.0
Bo Burnham: Inside,88 min,88.0
One Lagos Night,103 min,103.0
Collateral Beauty,97 min,97.0
Dog Gone Trouble,88 min,88.0
Blue Miracle,97 min,97.0
Ghost Lab,118 min,118.0
Soy Rada: Serendipity,70 min,70.0
The Day I lost My Shadow,91 min,91.0
Baggio: The Divine Ponytail,92 min,92.0
Gatao - The Last Stray,120 min,120.0
Nail Bomber: Manhunt,73 min,73.0
A Place in the Stars,110 min,110.0
Home,94 min,94.0
Sam Smith: Love Goes - Live at Abbey Road Studios,61 min,61.0
99 Songs,131 min,131.0
99 Songs (Tamil),131 min,131.0
99 Songs (Telugu),131 min,131.0
Army of the Dead,148 min,148.0
Creating an Army of the Dead,29 min,29.0
Strain,107 min,107.0
678,99 min,99.0
Asmaa,92 min,92.0
Hating Peter Tatchell,91 min,91.0
Little Singham Future mein Satakli,47 min,47.0
Spy Kids: All the Time in the World,88 min,88.0
Taxi No. 9211,116 min,116.0
Sabotage,109 min,109.0
Small Town Crime,92 min,92.0
The Last Days,87 min,87.0
Amy Tan: Unintended Memoir,101 min,101.0
Sardar Ka Grandson,140 min,140.0
Sleight,89 min,89.0
Ahaan,81 min,81.0
Love or Money,116 min,116.0
Cinema Bandi,99 min,99.0
Ferry,107 min,107.0
I Am All Girls,107 min,107.0
Jungle Beat: The Movie,90 min,90.0
Table Manners,104 min,104.0
The Strange House,100 min,100.0
The Upshaws - The Afterparty,32 min,32.0
The Woman in the Window,102 min,102.0
Layer Cake,105 min,105.0
Tottaa Pataaka Item Maal,107 min,107.0
Wave of Cinema: Filosofi Kopi,64 min,64.0
Dance of the Forty One,99 min,99.0
Oxygen,102 min,102.0
Dear Affy,126 min,126.0
Illegal Woman,119 min,119.0
Deadly Switch,86 min,86.0
Nayattu,122 min,122.0
Sleepless,95 min,95.0
Super Me,104 min,104.0
Have You Ever Seen Fireflies? - Theatre Play,118 min,118.0
In Our Mothers' Gardens,85 min,85.0
Milestone,98 min,98.0
Monster,99 min,99.0
The Circle - The Afterparty,35 min,35.0
